Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-03-31,American Pie,1999,https://boxd.it/6aIQW3,3,Yes,,2024-03-30
2024-03-31,Superbad,2007,https://boxd.it/6aIS6j,4,Yes,,2024-03-30
2024-03-31,Lightyear,2022,https://boxd.it/6aIVyb,2.5,Yes,,2024-03-30
2024-03-31,Blade Runner 2049,2017,https://boxd.it/6aJ0g7,4,Yes,,2024-03-30
2024-03-31,Uncut Gems,2019,https://boxd.it/6aJfUL,4,Yes,,2024-03-30
2024-03-31,Lost in Translation,2003,https://boxd.it/6aJkmJ,3,Yes,,2024-03-30
2024-03-31,Memento,2000,https://boxd.it/6aJw1j,4.5,Yes,,2024-03-30
2024-03-31,Scarface,1983,https://boxd.it/6aJAEJ,3.5,Yes,,2024-03-30
2024-03-31,Shutter Island,2010,https://boxd.it/6aJBF9,5,Yes,,2024-03-30
2024-03-31,American History X,1998,https://boxd.it/6aJDw9,4.5,Yes,,2024-03-30
2024-03-31,GoodFellas,1990,https://boxd.it/6aJEzj,4,Yes,,2024-03-30
2024-03-31,The Super Mario Bros. Movie,2023,https://boxd.it/6aJGip,4,Yes,,2024-03-30
2024-03-31,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/6aJHp7,4.5,Yes,,2024-03-30
2024-03-31,Top Gun: Maverick,2022,https://boxd.it/6aJJiH,3.5,Yes,,2024-03-30
2024-03-31,La Haine,1995,https://boxd.it/6aJU9h,5,Yes,,2024-03-30
2024-03-31,City of God,2002,https://boxd.it/6aKaQV,5,,,2024-03-30
2024-03-31,Princess Mononoke,1997,https://boxd.it/6aO9Pb,5,Yes,,2024-03-31
2024-03-31,My Neighbor Totoro,1988,https://boxd.it/6aObv3,4.5,,,2024-03-31
2024-04-26,Porco Rosso,1992,https://boxd.it/6lskUr,4.5,,,2024-04-25
2024-04-27,Howl's Moving Castle,2004,https://boxd.it/6lTEbl,5,,,2024-04-27
2024-04-29,Kiki's Delivery Service,1989,https://boxd.it/6mEeal,3.5,,,2024-04-28
2024-04-29,Whisper of the Heart,1995,https://boxd.it/6mREgZ,4,,,2024-04-28
2024-04-30,Nausicaä of the Valley of the Wind,1984,https://boxd.it/6nxu3P,4,,,2024-04-30
2024-05-02,The Wind Rises,2013,https://boxd.it/6oav2r,3.5,,,2024-05-02
2024-05-05,Heat,1995,https://boxd.it/6ptFTH,4,,,2024-05-05
