Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-12-30,Cried to,,https://boxd.it/BOf7A,

Position,Name,Year,URL,Description
1,Us and Them,2018,https://boxd.it/ip3a,
2,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM,Mira primero los 26 episodios
3,Forrest Gump,1994,https://boxd.it/728,
4,When Marnie Was There,2014,https://boxd.it/78pm,
5,Howl's Moving Castle,2004,https://boxd.it/23De,
6,Cyberpunk: Edgerunners,2022,https://boxd.it/COP4,
7,Princess Mononoke,1997,https://boxd.it/2b4w,
8,City of God,2002,https://boxd.it/2a2a,
9,WALL·E,2008,https://boxd.it/1VEo,
10,The Irishman,2019,https://boxd.it/dYOq,
11,A Silent Voice: The Movie,2016,https://boxd.it/d99c,
