Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-05-19,Ghibli ranked,"studio ghibli, ghibli, ranked, manilovefish",https://boxd.it/vC2ue,"Allá por abril de 2024 le cogí una obsesión bastante importe a las películas de Studio Ghibli y me empecé a ver todas seguidas.
Estas son de mis películas favoritas y están casi todas en Netflix entonces no hay excusa para no verlas.

:)"

Position,Name,Year,URL,Description
1,Princess Mononoke,1997,https://boxd.it/2b4w,
2,Howl's Moving Castle,2004,https://boxd.it/23De,
3,Spirited Away,2001,https://boxd.it/2b4m,
4,Porco Rosso,1992,https://boxd.it/1Tp2,
5,Whisper of the Heart,1995,https://boxd.it/17uy,
6,When Marnie Was There,2014,https://boxd.it/78pm,
7,Nausicaä of the Valley of the Wind,1984,https://boxd.it/2bc6,
8,Grave of the Fireflies,1988,https://boxd.it/1RUM,
9,Kiki's Delivery Service,1989,https://boxd.it/1JAY,
10,My Neighbor Totoro,1988,https://boxd.it/20eA,
11,The Wind Rises,2013,https://boxd.it/4JQS,
12,From Up on Poppy Hill,2011,https://boxd.it/2VCa,
13,Pom Poko,1994,https://boxd.it/1Mvi,
14,Ponyo,2008,https://boxd.it/1S0A,
15,My Neighbors the Yamadas,1999,https://boxd.it/1KC2,
16,Castle in the Sky,1986,https://boxd.it/1W4G,
17,The Boy and the Heron,2023,https://boxd.it/ipeM,
18,The Secret World of Arrietty,2010,https://boxd.it/AF4,
19,Ocean Waves,1993,https://boxd.it/1CtQ,
20,The Cat Returns,2002,https://boxd.it/1Mne,
21,Only Yesterday,1991,https://boxd.it/1MR4,
22,The Tale of The Princess Kaguya,2013,https://boxd.it/4JQI,
23,Tales from Earthsea,2006,https://boxd.it/17ae,
24,The Red Turtle,2016,https://boxd.it/bdkE,
25,Earwig and the Witch,2020,https://boxd.it/pu34,
