Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-04-21,papi el estilo,,https://boxd.it/U1kAU,

Position,Name,Year,URL,Description
1,Fear and Loathing in Las Vegas,1998,https://boxd.it/27Xs,
2,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
3,Sonny Boy,2021,https://boxd.it/vYTQ,
4,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8,
5,The Lighthouse,2019,https://boxd.it/icFU,
6,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
7,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
8,Isle of Dogs,2018,https://boxd.it/dZrW,
9,"Night Is Short, Walk On Girl",2017,https://boxd.it/ffwA,
10,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
11,Moonrise Kingdom,2012,https://boxd.it/2Wng,
12,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,
13,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,
14,The Darjeeling Limited,2007,https://boxd.it/24as,
15,Howl's Moving Castle,2004,https://boxd.it/23De,
16,Mind Game,2004,https://boxd.it/1Bv2,
17,Kill Bill: Vol. 1,2003,https://boxd.it/70w,
18,Tokyo Godfathers,2003,https://boxd.it/1Qg2,
19,The Royal Tenenbaums,2001,https://boxd.it/1YHU,
20,All About Lily Chou-Chou,2001,https://boxd.it/1JP0,
21,Y Tu Mamá También,2001,https://boxd.it/28QM,
22,Mulholland Drive,2001,https://boxd.it/297o,
23,FLCL,2000,https://boxd.it/bWtG,
24,Rushmore,1998,https://boxd.it/1TAO,
25,Cowboy Bebop,1998,https://boxd.it/ptES,
26,Cure,1997,https://boxd.it/1blA,
27,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM,
28,Princess Mononoke,1997,https://boxd.it/2b4w,
29,Trainspotting,1996,https://boxd.it/29XY,
30,Fallen Angels,1995,https://boxd.it/1UkW,
31,The Day of the Beast,1995,https://boxd.it/1Vyg,
32,Chungking Express,1994,https://boxd.it/1UDa,
33,Lessons of Darkness,1992,https://boxd.it/x7I,
34,Akira,1988,https://boxd.it/2b1i,
35,Women on the Verge of a Nervous Breakdown,1988,https://boxd.it/24GI,
36,Cria!,1976,https://boxd.it/AoC,
37,Ritual,2000,https://boxd.it/14z6,
38,The Phoenician Scheme,2025,https://boxd.it/H0Ca,
