Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-08-11,papi la fotografia,,https://boxd.it/NieGS,

Position,Name,Year,URL,Description
1,All About Lily Chou-Chou,2001,https://boxd.it/1JP0,
2,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM,
3,La Haine,1995,https://boxd.it/2as8,
4,Fallen Angels,1995,https://boxd.it/1UkW,
5,Get Out,2017,https://boxd.it/eOCm,
6,1917,2019,https://boxd.it/jj4y,
7,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
8,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8,
9,The Lighthouse,2019,https://boxd.it/icFU,
10,Midsommar,2019,https://boxd.it/jhxe,
11,The Zone of Interest,2023,https://boxd.it/gJsA,
12,Knives Out,2019,https://boxd.it/jWEA,
13,Akira,1988,https://boxd.it/2b1i,
14,Cure,1997,https://boxd.it/1blA,
15,Kill Bill: Vol. 1,2003,https://boxd.it/70w,
16,No Other Choice,2025,https://boxd.it/nKiA,
17,Brokeback Mountain,2005,https://boxd.it/2b2q,
18,Athena,2022,https://boxd.it/waii,
19,Perfect Days,2023,https://boxd.it/ATh8,
20,Forget Me Not,2015,https://boxd.it/b0Uk,
21,Oldboy,2003,https://boxd.it/29R2,
22,Ritual,2000,https://boxd.it/14z6,
23,The Time That Remains,2009,https://boxd.it/QP0,
24,Children of Men,2006,https://boxd.it/1Y2i,
25,The Phoenician Scheme,2025,https://boxd.it/H0Ca,
