Date,Name,Year,Letterboxd URI,Rating
2024-03-31,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4
2024-03-31,The Irishman,2019,https://boxd.it/dYOq,4.5
2024-03-31,Entergalactic,2022,https://boxd.it/CPN4,2.5
2024-03-31,American Pie,1999,https://boxd.it/27qy,3
2024-03-31,Superbad,2007,https://boxd.it/20hO,4
2024-03-31,Fight Club,1999,https://boxd.it/2a9q,5
2024-03-31,Drive,2011,https://boxd.it/IG,3.5
2024-03-31,Blade Runner 2049,2017,https://boxd.it/b8wK,4
2024-03-31,American Psycho,2000,https://boxd.it/28Vs,2.5
2024-03-31,Interstellar,2014,https://boxd.it/4VZ8,5
2024-03-31,Whiplash,2014,https://boxd.it/7bQA,4.5
2024-03-31,The Pianist,2002,https://boxd.it/2aqc,4.5
2024-03-31,All Quiet on the Western Front,2022,https://boxd.it/H08,4.5
2024-03-31,Apocalypse Now,1979,https://boxd.it/6ZS,3.5
2024-03-31,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4.5
2024-03-31,Uncut Gems,2019,https://boxd.it/gXGc,4
2024-03-31,WALL·E,2008,https://boxd.it/1VEo,5
2024-03-31,Lost in Translation,2003,https://boxd.it/2b0E,3
2024-03-31,War Dogs,2016,https://boxd.it/9SlO,3.5
2024-03-31,The Shawshank Redemption,1994,https://boxd.it/2aHi,4
2024-03-31,Argentina 1985,2022,https://boxd.it/qLxM,4.5
2024-03-31,Zodiac,2007,https://boxd.it/27MO,3
2024-03-31,Memento,2000,https://boxd.it/2bcK,4.5
2024-03-31,Inglourious Basterds,2009,https://boxd.it/1JzG,4.5
2024-03-31,Scarface,1983,https://boxd.it/2b7g,3.5
2024-03-31,Shutter Island,2010,https://boxd.it/1U82,5
2024-03-31,American History X,1998,https://boxd.it/2bdo,4.5
2024-03-31,GoodFellas,1990,https://boxd.it/29FA,4
2024-03-31,Top Gun: Maverick,2022,https://boxd.it/cjr4,3.5
2024-03-31,1917,2019,https://boxd.it/jj4y,4.5
2024-03-31,Inception,2010,https://boxd.it/1skk,4.5
2024-03-31,La Haine,1995,https://boxd.it/2as8,5
2024-03-31,Ratatouille,2007,https://boxd.it/27ww,4
