Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2024-03-31,Superbad,2007,https://boxd.it/6aIS6j,4,Yes,Mclovin,,2024-03-30
2024-03-31,Lightyear,2022,https://boxd.it/6aIVyb,2.5,Yes,Mediocre,,2024-03-30
2024-03-31,Memento,2000,https://boxd.it/6aJw1j,4.5,Yes,Me duele la cabeza,,2024-03-30
2024-03-31,Scarface,1983,https://boxd.it/6aJAEJ,3.5,Yes,Esta bastante overrated,,2024-03-30
2024-03-31,Shutter Island,2010,https://boxd.it/6aJBF9,5,Yes,peak,,2024-03-30
2024-03-31,American History X,1998,https://boxd.it/6aJDw9,4.5,Yes,dura de puto cojones,,2024-03-30
2024-03-31,La Haine,1995,https://boxd.it/6aJU9h,5,Yes,"Esta es la película es la de las que he visto la que mejor gestiona la tensión del espectador. Durante toda la película estas en tensión, crees que va a acabar mal pero sale el sol, se despiden, se piran para casa y cuando no te lo esperas acaba mal. 10/10",,2024-03-30
2024-03-31,City of God,2002,https://boxd.it/6aKaQV,5,,"Joder, no sabía que una obra audiovisual te podía deja tan lleno en tan poco tiempo. 10/10",,2024-03-30
2024-03-31,Princess Mononoke,1997,https://boxd.it/6aO9Pb,5,Yes,peak,,2024-03-31
2024-03-31,My Neighbor Totoro,1988,https://boxd.it/6aObv3,4.5,,Literal la definición de felicidad. Me he pasado toda la película con una sonrisa en la cara.,,2024-03-31
2024-04-26,Porco Rosso,1992,https://boxd.it/6lskUr,4.5,,"No se como pero todas las películas de studio ghibli me las veo todo el rato con una sonrisa en la cara de oreja a oreja, simplemente perfecta.",,2024-04-25
2024-04-27,Howl's Moving Castle,2004,https://boxd.it/6lTEbl,5,,Esta es de las mejores películas jamás hechas no?,,2024-04-27
2024-04-29,Kiki's Delivery Service,1989,https://boxd.it/6mEeal,3.5,,Yo también quiero un gato que hable,,2024-04-28
2024-04-29,Whisper of the Heart,1995,https://boxd.it/6mREgZ,4,,"Los de Studio Ghibli son unos genios, no sé como lo hacen pero todas sus películas me llegan al corazón de una forma que ningún otro estudio o director puede hacer.
Al ver el poster de la peli me imaginaba que iba a ser una aventura fantástica donde el gato iba ha hacer de guía pero me he terminado tragando una de las películas de amor mas bonitas que he visto nunca.",,2024-04-28
2024-04-30,Nausicaä of the Valley of the Wind,1984,https://boxd.it/6nxu3P,4,,"Dios menuda película, ahora me siento mal por las moscas arañas y avispas que he matado.",,2024-04-30
2024-05-02,The Wind Rises,2013,https://boxd.it/6oav2r,3.5,,"La película me ha encantado, me encanta la historia, la motivación ciega de jiro, el amor trágico por el que pasan y el mensaje final también me ha encantado. Pero la película me ha dejado algo en conflicto.

Durante toda la película se da el mensaje de que aunque crear aviones sea algo fantástico siempre serán usados para la guerra, y que los propios ingenieros que diseñaban los aviones no tenían la culpa ya que ellos solo querían mejorar sus diseños. Esto no tiene ningún sentido, ¿Osea me estas diciendo que solo querías crear mejores aviones sin causar daño a nadie aunque estés creando  jodidos bombarderos y cazas para alimentar el imperialismo japonés?
La peli en general tiene un regustillo a orgullo japonés de ""ohhh somos muy pobres pero logramos avanzar en 10 años lo que los alemanes hicieron en 20"" un poco rarete.

Esto no quita que sea un peliculón, pero si te das cuenta de esto, te deja con algo de mal sabor de boca. Sin imperialismo japonés hubiera sido un 9/10. Miyazaki no defrauda.",,2024-05-02
2024-05-05,Heat,1995,https://boxd.it/6ptFTH,4,,Dad film final boss,,2024-05-05
2024-05-14,When Marnie Was There,2014,https://boxd.it/6tc3KJ,4.5,,"Más o menos por la mitad de la peli me estaba preguntando todas las preguntas posibles ¿Por qué Ana no se quería? ¿Por qué Marnie aparecía y desaparecia? ¿Quien era Marnie? ¿Si se gustaban? Pero en la ultima media hora todas las preguntas se me han resuelto y el ritmo de como resuelven y enlazan las preguntas es perfecto.
Pocas películas me hacen llorar de felicidad pero está ha sido una de las que lo ha conseguido.",,2024-05-14
2024-05-16,Mortadelo & Filemon: Mission Implausible,2014,https://boxd.it/6u4uaB,4.5,,cine 🚬🚬🚬,,2024-05-16
